Time;Command;AffectedRows;ElapsedTime
2018.04.10_08:56:15;DML_INSERT;40000;15192
2018.04.10_08:56:30;DML_INSERT;40000;14693
2018.04.10_08:56:45;DML_INSERT;40000;14329
2018.04.10_08:57:00;DML_INSERT;40000;14739
2018.04.10_08:57:15;DML_INSERT;40000;14788
2018.04.10_08:57:30;DML_INSERT;40000;14768
2018.04.10_08:57:45;DML_INSERT;40000;14589
2018.04.10_08:58:00;DML_INSERT;40000;15035
2018.04.10_08:58:16;DML_INSERT;40000;15253
2018.04.10_08:58:32;DML_INSERT;40000;15499
2018.04.10_08:58:48;DML_INSERT;40000;15596
2018.04.10_08:59:03;DML_INSERT;40000;15159
2018.04.10_08:59:19;DML_INSERT;40000;15995
2018.04.10_08:59:37;DML_INSERT;40000;16825
2018.04.10_08:59:53;DML_INSERT;40000;16251
2018.04.10_09:00:09;DML_INSERT;40000;15463
2018.04.10_09:00:24;DML_INSERT;40000;14536
2018.04.10_09:00:39;DML_INSERT;40000;14988
2018.04.10_09:00:53;DML_INSERT;40000;14121
2018.04.10_09:01:09;DML_INSERT;40000;15195
2018.04.10_09:01:24;DML_INSERT;40000;14443
2018.04.10_09:01:39;DML_INSERT;40000;14759
2018.04.10_09:01:53;DML_INSERT;40000;14396
2018.04.10_09:02:10;DML_INSERT;40000;15749
2018.04.10_09:02:25;DML_INSERT;40000;15561
2018.04.10_09:02:41;DML_INSERT;40000;15074
2018.04.10_09:02:56;DML_INSERT;40000;14927
2018.04.10_09:03:12;DML_INSERT;40000;16037
2018.04.10_09:03:28;DML_INSERT;40000;15315
2018.04.10_09:03:43;DML_INSERT;40000;14990
2018.04.10_09:03:59;DML_INSERT;40000;15592
2018.04.10_09:04:17;DML_INSERT;40000;17065
2018.04.10_09:04:32;DML_INSERT;40000;15537
2018.04.10_09:04:48;DML_INSERT;40000;14767
2018.04.10_09:05:03;DML_INSERT;40000;15154
2018.04.10_09:05:19;DML_INSERT;40000;15486
2018.04.10_09:05:34;DML_INSERT;40000;15237
2018.04.10_09:05:49;DML_INSERT;40000;14331
2018.04.10_09:06:05;DML_INSERT;40000;15481
2018.04.10_09:06:21;DML_INSERT;40000;15393
2018.04.10_09:06:35;DML_INSERT;40000;14383
2018.04.10_09:06:50;DML_INSERT;40000;14335
2018.04.10_09:07:04;DML_INSERT;40000;14306
2018.04.10_09:07:19;DML_INSERT;40000;14528
2018.04.10_09:07:35;DML_INSERT;40000;15073
2018.04.10_09:07:50;DML_INSERT;40000;14541
2018.04.10_09:08:04;DML_INSERT;40000;14649
2018.04.10_09:08:20;DML_INSERT;40000;14873
2018.04.10_09:08:35;DML_INSERT;40000;14952
2018.04.10_09:08:51;DML_INSERT;40000;15959
2018.04.10_09:09:06;DML_INSERT;40000;14669
2018.04.10_09:09:22;DML_INSERT;40000;15444
2018.04.10_09:09:38;DML_INSERT;40000;15994
2018.04.10_09:09:55;DML_INSERT;40000;15968
2018.04.10_09:10:10;DML_INSERT;40000;14705
2018.04.10_09:10:25;DML_INSERT;40000;15480
2018.04.10_09:10:40;DML_INSERT;40000;14791
2018.04.10_09:10:55;DML_INSERT;40000;14704
2018.04.10_09:11:12;DML_INSERT;40000;16033
2018.04.10_09:11:28;DML_INSERT;40000;15957
2018.04.10_09:11:45;DML_INSERT;40000;16830
2018.04.10_09:12:01;DML_INSERT;40000;15102
2018.04.10_09:12:16;DML_INSERT;40000;15072
2018.04.10_09:12:32;DML_INSERT;40000;15365
2018.04.10_09:12:49;DML_INSERT;40000;16449
2018.04.10_09:13:03;DML_INSERT;40000;14273
2018.04.10_09:13:19;DML_INSERT;40000;15463
2018.04.10_09:13:35;DML_INSERT;40000;15559
2018.04.10_11:18:05;DML_DELETE;4000000;16941
2018.04.10_11:18:31;DML_INSERT;50000;19240
2018.04.10_11:18:49;DML_INSERT;50000;18359
2018.04.10_11:19:10;DML_INSERT;50000;20051
2018.04.10_11:19:29;DML_INSERT;50000;18916
2018.04.10_11:19:48;DML_INSERT;50000;18840
2018.04.10_11:20:07;DML_INSERT;50000;18489
2018.04.10_11:20:26;DML_INSERT;50000;18378
2018.04.10_11:20:46;DML_INSERT;50000;19409
2018.04.10_11:21:05;DML_INSERT;50000;18951
2018.04.10_11:21:25;DML_INSERT;50000;18984
2018.04.10_11:21:44;DML_INSERT;50000;18877
2018.04.10_11:22:03;DML_INSERT;50000;18600
2018.04.10_11:22:22;DML_INSERT;50000;18855
2018.04.10_11:22:41;DML_INSERT;50000;18455
2018.04.10_11:23:00;DML_INSERT;50000;18724
2018.04.10_11:23:19;DML_INSERT;50000;18202
2018.04.10_11:23:38;DML_INSERT;50000;18944
2018.04.10_11:23:57;DML_INSERT;50000;18434
2018.04.10_11:24:16;DML_INSERT;50000;19263
2018.04.10_11:24:35;DML_INSERT;50000;18076
2018.04.10_11:24:53;DML_INSERT;50000;18021
2018.04.10_11:25:12;DML_INSERT;50000;18483
2018.04.10_11:25:32;DML_INSERT;50000;19859
2018.04.10_11:25:51;DML_INSERT;50000;18655
2018.04.10_11:26:09;DML_INSERT;50000;17645
2018.04.10_11:26:28;DML_INSERT;50000;17641
2018.04.10_11:26:46;DML_INSERT;50000;18144
2018.04.10_11:27:05;DML_INSERT;50000;18301
2018.04.10_11:27:23;DML_INSERT;50000;17959
2018.04.10_11:27:42;DML_INSERT;50000;18197
2018.04.10_11:28:01;DML_INSERT;50000;18689
2018.04.10_11:28:20;DML_INSERT;50000;18601
2018.04.10_11:28:39;DML_INSERT;50000;18388
2018.04.10_11:28:58;DML_INSERT;50000;18935
2018.04.10_11:29:17;DML_INSERT;50000;19030
2018.04.10_11:29:36;DML_INSERT;50000;18067
2018.04.10_11:29:55;DML_INSERT;50000;19234
2018.04.10_11:30:14;DML_INSERT;50000;18410
2018.04.10_11:30:34;DML_INSERT;50000;19074
2018.04.10_11:30:52;DML_INSERT;50000;17636
2018.04.10_11:31:12;DML_INSERT;50000;19713
2018.04.10_11:31:30;DML_INSERT;50000;17612
2018.04.10_11:31:48;DML_INSERT;50000;17959
2018.04.10_11:32:06;DML_INSERT;50000;17507
2018.04.10_11:32:24;DML_INSERT;50000;17469
2018.04.10_11:32:42;DML_INSERT;50000;17956
2018.04.10_11:33:01;DML_INSERT;50000;18781
2018.04.10_11:33:20;DML_INSERT;50000;18853
2018.04.10_11:33:40;DML_INSERT;50000;19215
2018.04.10_11:33:58;DML_INSERT;50000;18012
2018.04.10_11:34:18;DML_INSERT;50000;18987
2018.04.10_11:34:36;DML_INSERT;50000;17873
2018.04.10_11:34:56;DML_INSERT;50000;19660
2018.04.10_11:35:14;DML_INSERT;50000;18052
2018.04.10_11:35:34;DML_INSERT;50000;19051
2018.04.10_11:35:54;DML_INSERT;50000;19706
2018.04.10_11:36:15;DML_INSERT;50000;20185
2018.04.10_11:36:34;DML_INSERT;50000;18967
2018.04.10_11:36:53;DML_INSERT;50000;18807
2018.04.10_11:37:12;DML_INSERT;50000;18447
2018.04.10_11:37:31;DML_INSERT;50000;18244
2018.04.10_11:37:50;DML_INSERT;50000;19034
2018.04.10_11:38:09;DML_INSERT;50000;18896
2018.04.10_11:38:28;DML_INSERT;50000;18613
2018.04.10_11:38:47;DML_INSERT;50000;18304
2018.04.10_11:39:06;DML_INSERT;50000;18130
2018.04.10_11:39:25;DML_INSERT;50000;19252
2018.04.10_11:39:44;DML_INSERT;50000;18383
2018.04.10_11:40:03;DML_INSERT;50000;18778
2018.04.10_11:40:22;DML_INSERT;50000;18304
2018.04.10_11:40:41;DML_INSERT;50000;18657
2018.04.10_11:41:00;DML_INSERT;50000;18889
2018.04.10_11:41:19;DML_INSERT;50000;18315
2018.04.10_11:41:38;DML_INSERT;50000;18202
2018.04.10_11:41:56;DML_INSERT;50000;18328
2018.04.10_11:42:15;DML_INSERT;50000;18595
2018.04.10_11:42:33;DML_INSERT;50000;17740
2018.04.10_11:42:52;DML_INSERT;50000;18060
2018.04.10_11:43:10;DML_INSERT;50000;18231
2018.04.10_11:43:29;DML_INSERT;50000;17791
2018.04.10_11:43:47;DML_INSERT;50000;18332
2018.04.10_11:44:06;DML_INSERT;50000;17912
2018.04.10_11:44:25;DML_INSERT;50000;18556
2018.04.10_11:44:44;DML_INSERT;50000;19274
2018.04.10_11:45:02;DML_INSERT;50000;17785
2018.04.10_11:45:23;DML_INSERT;50000;19844
2018.04.10_11:45:43;DML_INSERT;50000;19539
2018.04.10_11:46:01;DML_INSERT;50000;18294
2018.04.10_11:46:20;DML_INSERT;50000;17938
2018.04.10_11:46:38;DML_INSERT;50000;17849
2018.04.10_11:46:57;DML_INSERT;50000;18577
2018.04.10_11:47:16;DML_INSERT;50000;18368
2018.04.10_11:47:34;DML_INSERT;50000;17910
2018.04.10_11:47:52;DML_INSERT;50000;17910
2018.04.10_11:48:11;DML_INSERT;50000;18464
2018.04.10_11:48:30;DML_INSERT;50000;18762
2018.04.10_11:48:49;DML_INSERT;50000;18537
2018.04.10_11:49:08;DML_INSERT;50000;18614
2018.04.10_11:49:27;DML_INSERT;50000;18672
2018.04.10_11:49:46;DML_INSERT;50000;18474
2018.04.10_12:48:21;DML_DELETE;5000000;26817
2018.04.10_12:49:02;DML_INSERT;60000;24561
2018.04.10_12:49:26;DML_INSERT;60000;23429
2018.04.10_12:49:50;DML_INSERT;60000;23791
2018.04.10_12:50:13;DML_INSERT;60000;22783
2018.04.10_12:50:36;DML_INSERT;60000;22452
2018.04.10_12:51:00;DML_INSERT;60000;22877
2018.04.10_12:51:23;DML_INSERT;60000;23201
2018.04.10_12:51:47;DML_INSERT;60000;23294
